,Missed Selection,Misidentification,Correct Identification,Correct Non-UGR Identification
0,242,11,8,739
10,242,11,8,739
20,242,11,8,739
30,242,11,8,739
40,242,11,8,739
50,242,11,8,739
60,242,11,8,739
70,242,11,8,739
80,242,11,8,739
90,242,11,8,739
100,242,11,8,739
