,Missed Selection,Misidentification,Correct Identification,Correct Non-UGR Identification
0,314,139,464,10532
10,314,139,464,10532
20,314,139,464,10532
30,314,139,464,10532
40,314,139,464,10532
50,314,139,464,10532
60,314,139,464,10532
70,314,139,464,10532
80,314,139,464,10532
90,314,139,464,10532
100,314,139,464,10532
